"pathway","pval","padj","log2err","ES","NES","size","genes"
"AFF4_TARGET_GENES",0.12532637075718,0.863866592947068,0.204294756516886,-0.486295716440682,-1.62273194447329,657,"2410006H16Rik,Mir6236,Abcg1,H4c4,H2ac8,Hnrnpa0,Tjp2,Ddx6,H4c14,Setd5,Rpl41,Rps2,Cd68,Rcc2,Rpsa,Lmnb1,Raly,Rpl36a,Myl12a,Rps5,Rpl13a,Rps28,Rpl7a,Rpl39,Npm1,Rps15a,Gas5,Eef1g,Pabpc1,Rpl6,Rps27,Eif4a1,Rpl3,Rpl10,Rpl11,Rps26,Zbtb37,Rpl22l1,Polr2a,Rpl7,Rps27a,Dgkh,Nop58,Rpl3-ps1,Rplp0,Rpl10a,Atxn2l,Hspe1,Septin9,Rpl37,Gcn1,Rps15,Ppp1r10,Rpl36al,Tpt1,Hnrnpa3,Rpl9,Hnrnpc,Trps1,Mt1,Azin1,Rplp2,Tbl1xr1,Patz1,Eef2,BC005537,Resf1,Rplp1,Hk2,Kat6b,Anp32e,Rpl18,Rpl23a,Rpl14,E2f3,Atp6v1a,Spen,Ncl,H2bc8,H2ac15,Rpl12,Rpl26,Rps12,Tubb5,Tet2,Tfrc,Rpl22,Xpo1,Trip12,Ubald2,Arid1a,Ipo7,Birc6,Rpl18a,Senp6,Mybl2,H2ac20,Eef1a1,Scd2,Eef1b2,Cic,H1f4,Slc2a1,Cbx3,Slc25a12,Atxn7l3,Skp1,H1f1,Rps8,Senp3,Rad21,Ddx3x,Ints5,Tmem131,Snx5,Zfas1,Lasp1,Cbx5,Rpl13,Tdrd3,Zfhx2,H4c3,Rps9,Eif4e2,BC051226,Bcl7a,Actb,Rpl27,Zfp568,Stx3,Rpl35a,Set,Rps23,Rpl21,Hcfc1,Ino80d,Gapdh,Gpi1,Klf3,H3c6,Hnrnpa1,Cltc,Snhg6,Etf1,Slc38a1,Ccnd1,Hnrnpab,Pgk1,a,Trp53bp1,Itpk1,Actg1,H2bc15,Rpl28,Hnrnpdl,Lockd,H2ac22,Snhg12,Rabggtb,H2ac13,Fbxo5,Rnf157,Lpar6,Mesd,Srsf1,Kntc1,Brd2,Arl15,Srm,Tmpo,Rps11,Jade1,Ap4m1,Surf1,Klf2,H2bc27"
"ASH1L_TARGET_GENES",0.317554240631164,0.863866592947068,0.104343952581949,0.62348908466241,1.15732656414137,6,"Crebzf,Ints7,Pde4d,Tcf4"
"BCL11A_TARGET_GENES",0.308467741935484,0.863866592947068,0.107554375265169,-0.7395529023244,-1.1819414791996,3,"Actb,Eomes,Gata6"
"CARM1_TARGET_GENES",0.28956228956229,0.863866592947068,0.10027910675413,0.356342585098038,1.06224462607266,97,"Tmem176b,Iscu,Tmem176a,Mfng,Arhgef4,Rsad2,Irf3,Dctn1,Cuedc2,Erlin2,Gstt1,Phb1,Tmc6,Slc25a25,Cdk4,Map3k8,Tle1,Irag2,Hes6,Yars1,4933421O10Rik,Sec11a,Mgat1,Man2c1,Rnf122,Dcaf12,Eno1,Zfp329,0610038B21Rik,Tceanc,Mia2"
"CEBPG_TARGET_GENES",0.27970297029703,0.863866592947068,0.128142916898415,-0.299459025451826,-0.985795708537056,293,"Ccl9,H4c14,Rcc2,Mdn1,Rpl13a,BC065397,Eif4a1,Rad23b,Atxn2l,Mdfic,Hnrnpul2,Nudt21,Ptpn22,Taf15,Atp13a3,Spen,Fdxr,Taco1,Clcn3,Rpia,Rbm4,Cp,Got1,Foxp1,Smarca2,Ppp1r15b,Ccdc186,Pfkp,Knl1,Cldn12,Acaa1a,Slc45a4,Sertad2,Vars1,Pde4dip,Clcn6,Atf6,Gtpbp4,Jdp2,Il1rl2,Calcrl,Hnrnpdl,Lockd,AW209491"
"DDX5_TARGET_GENES",0.292962356792144,0.863866592947068,0.0978773277424561,0.41937291606471,1.10746708403417,37,"Atp6v0b,Pip4p1,Hexa,Rpusd4,Nsmce2,Mcoln1,Armt1,Get4,Fam118b,Ubxn1,Lamtor1"
"DLX1_TARGET_GENES",0.262086513994911,0.863866592947068,0.135002033828631,-0.312841055447335,-1.02331783791276,250,"Ccl9,H4c4,Rps27,Eif4a1,Memo1,Uqcrh,H2bc4,Rsf1,Arid3a,Irf2bpl,Rev3l,Trpm7,Hnrnpc,Pfdn4,Kat6b,Slc4a1ap,Mis18bp1,Tuba1b,Ambra1,Tubb5,Rpia,Arid1a,C2cd3,Prkcsh,Kmt2b,Cp,Cbx3,Sbno1,Tango6,Rexo5,Atxn7l3,Oxsr1,Tnrc18,Wipf2,Actb,Zfand3,H2ac6,Mbnl1,H3f3a,H3c6,Cltc,Cep350,Tns1,Msl2,Hnrnph1,Trak2,Hexim2,Ppih,Ncoa6,Supt7l,Srsf1,Syncrip,Mapk1,Atp5mc3,Nme1,Farsa,Dot1l,Rbm25,Gatad2b,Glul,Fbxo11,Supt3,Lman1,Kmt2c,Dnajc1,Ptpn12,Oga,Mettl23,Gm14137,Fitm2,Wiz,Mllt3,Nufip2,Prorp,Rpl5,Dclre1c"
"DLX6_TARGET_GENES",0.171361502347418,0.863866592947068,0.163180127180689,-0.502409114876624,-1.28375078116433,27,"Gm4876,Myh9,Ptpn22,Ubald2,Cp,Mbnl1,Tns1,Emp1,Smad3,Abl2,Pigt"
"DNAJC2_TARGET_GENES",0.0966666666666667,0.863866592947068,0.184706471207739,0.542011781440165,1.39914466795856,34,"Ccm2,Trp53i13,Tyw1,E2f2,Ppp5c,Acd,Sbds,Dgkz,Xkr8,Tiam2,Ipo9"
"DUXBL1_TARGET_GENES",0.313679245283019,0.863866592947068,0.116739204791222,-0.312032207679894,-0.996446134949028,161,"Ccl9,Cd68,S100a4,Smpd4,Ptpn22,Tcaim,Clcn3,Ubald2,Cp,Arid5b,Atf1,Ppp1r15b,Rbm19,Gls,Smchd1,Sag,Mob4,Sclt1,Ttc32,Ppm1f,Zfp595,Uvrag,Sp1,Wscd2,Hexim2,Rdm1,Aph1a,Kntc1,Fryl,Zfp512,Litaf,Tomm40l,Zfp882"
"ELK1_TARGET_GENES",0.208931419457735,0.863866592947068,0.11776578836269,0.316599311898691,1.01255268754077,736,"Egr2,Itgb1,Lin37,Fam234a,Htra2,Irf5,Cnot9,Mospd3,Rtf2,Ildr1,Gpat3,Stmp1,Add1,Ndrg1,Stradb,Calcoco1,Slc25a19,Rbpj,Oasl1,Arhgap1,Fam118a,Iscu,Tex10,Tdp1,Sec13,Inpp5b,Abhd10,Ints4,B4galt3,Xpnpep1,Pttg1ip,Plekhg2,Atp6v1d,Ap1ar,Zfpm1,Wdr47,Rbms1,Tmem59,Mapk3,Ap1m1,Rpusd4,Lrrfip1,Daglb,Cyb5r1,Nelfa,Aftph,Cxxc1,Slu7,Cd101,Trp53rkb,Wdr24,Kifap3,Slc35a4,Kctd5,Uap1,Hsd11b1,Psmd11,Dsn1,Irf3,Shoc2,Camta2,Cops8,Kpnb1,Atosb,Trappc2b,Inpp5e,Ergic1,Mfn1,Dctn1,Rngtt,Cmas,Snw1,Slc35a1,Cfap410,Zbtb17,Ankra2,Mad2l1bp,Bcl2l12,Dgkz,Bsg,Eif5b,Ripk2,Mcoln1,Ly6e,Atg13,Otud6b,Tgoln1,Wdr1,Gpbp1,Ndrg3,Tcp11l2,Copa,Ezh2,Mrpl18,Plekhg5,Pramel12,Zdhhc12,Zcchc17,Anapc2,Cox15,Pepd,Ppp2r5a,Trpc4ap,Chst10,Lxn,Ostf1,Scyl3,Ddx1,Morc3,Paxip1,Rars1,Coil,Pafah1b3,Lamtor1,Pih1d1,Smarce1,Ssbp4,Ift46,Sec31b,Fibp,Nelfb,Ppp4c,Kyat1,Pcbp3,Vps26c,Slc43a2,Fam114a1,Lrrc1,Ythdf1,Vps16,Khk,Sf3a2,Ankrd13d,Mtfr1,Sh3d19,Cog1,Bst2,Zfp839,Mier2,Ube2m,Aup1,Slc35c2,Scrib,Usp16,Ubqln1,Camk2d,Ssbp1,Thoc6,Ifit1bl1,Tent5c,Carm1,Amz2,Alkbh3,Pak1ip1,Tpm1,Pomp,Amfr,Kcnmb4,Akt1,Nif3l1,Slc29a1,Larp1b"
"ELK3_TARGET_GENES",0.15158924205379,0.863866592947068,0.178219874951973,-0.446318817951088,-1.24928769501003,44,"Mir6236,Thrap3,Dmtf1,Dcaf7,Rpl27,Chka,Sp1,Hexim2"
"ETV2_TARGET_GENES",0.213036565977742,0.863866592947068,0.116234148779716,0.308570323826077,0.993279234997377,634,"Itgb1,Cnrip1,Slc39a13,Id3,Crip2,Lrrc41,Grap,Tpm3,Nckap1,Med10,Lrrc8a,Fam32a,Arhgap1,Tprg1l,Iscu,Vps4b,Stk16,Tex10,Txnip,Asb6,Ttll1,Fbxo38,Ciao2b,Med11,Txndc5,Mysm1,Mfsd5,Zfp110,Cant1,Taf12,4833420G17Rik,Ap1b1,Ncbp2as2,Nsrp1,Gucd1,Crlf3,Rer1,Ifnar1,Psmd12,Vta1,Pin1,Sfr1,Fam124b,Usp28,Tank,Appl2,Med17,6330418K02Rik,Rnpc3,F730311O21Rik,M6pr,Prdm4,Abhd4,Ngrn,Cptp,Dnajb6,Eif5a,Ypel3,Gm15417,Shoc2,Parp3,Ints11,Ncstn,Coa5,Mocs3,Nup107,Oxnad1,Creb3,Kpnb1,Gle1,Bnip3l,Pigx,Llph,Fen1,Lyset,Traf7,Bbs4,St6galnac3,Slc25a32,Zbtb17,Dbnl,Prkab1,Aste1,Fbxo22,Necap2,Ttc1,Nosip,Yipf3,Snrpb,Wdr12,Pop7,Copa,Mettl6,Ing4,Ppp1r11,Thoc5,Polr1c,Nup214,Unc50,Pramel12,Dok4,Stk4,Tmem229b,Acbd5,Gabpb1,Tns2,Arpc2,Zcchc9,Prex1,Mrpl1,Spink10,Cops7a,Eapp,Bcap31,Smg7,Rars1,Park7,Dad1,Prkar1a,Ovca2,Mob3c,Dnajc25,1700010I14Rik,Sugct,Lamtor1,Ttyh3,Washc1,Uba7,Rchy1,Bag1,Nelfb,Ppp4c,2310011J03Rik,Gnpat,Slc43a2,Khdc4,Psmd2,Trmo,Armc7,Vps16,Fam110a,Uba2,Pum3,Scrib,Exd2,Stat6,Srsf7,Rps6ka2,Ssbp1,Keap1,Mogs,Sec31a,Amz2,Pak1ip1,Pomp,Ebna1bp2,Brix1,Sptlc2,Pex12,Adam17,Usp8,Ppib,Trim41,Dapk3,Mcl1,Mettl3,Dcaf13,Tufm,Srd5a3,Elavl1,Ywhab,Mrps16,Utp3,Cog2,9330151L19Rik,Ndufs3,Kat5,Cnot10,Clint1,Hyal2,Fhit,Shc1,Snx11,2900076A07Rik,Creld2,E2f4,9930012K11Rik,Arih2,Chpf,Mgat2,Ndufaf7,Septin10,Cage1,Dusp6,Gale"
"FOXD3_TARGET_GENES",0.089974293059126,0.863866592947068,0.241339976815091,-0.364480037954995,-1.21555947006737,368,"2410006H16Rik,Mir6236,H4c4,H2ac8,H4c14,Setd5,Xist,Ptk2b,Thrap3,Chm,Rpl3,Rps26,H1f2,Polr2a,Nop58,Rpl10a,Abi3,Hmgxb4,Gbp5,Snx13,Asxl1,H2bc8,H2ac15,Slc4a1ap,Tmem131l,Trip12,Rlim,Eef1a1,H1f4,Sbno1,Skp1,H1f1,Foxp1,Snx5,Gls,Zfas1,Slc39a14,Prps1,H4c3,Dpm1,Ptges3,Mbnl1,Kat6a,Gapdh,H3c6,Tmem11,Tbc1d15,Usp49,Trmt13,Rdh10,Nudt3,2700049A03Rik,Pgk1,Trp53bp1,Pura,H2bc15,N4bp2,Ube2e1,Ttn,Supt7l,Xiap,Lpar6,Brd2,Rnu12,Atp8a1,Prdx1,Mterf2,Cdkl3,Ubc,Gm22973"
