"pathway","pval","padj","log2err","ES","NES","size","genes"
"MIR_7036B_3P",0.811274509803922,0.935186754817201,0.0649407684612899,-0.26565259128288,-0.774719852261572,78,"Cux1,Tpt1,Hnrnpc,Med14,Mink1,Tmem260,Smchd1,Slc39a14,Tia1,Pip4k2b,Hycc2,Desi2,1700025G04Rik,Csnk1g1,Gramd1c,Lamc1,Gapvd1"
"MIR_7037_3P",0.808435852372584,0.935186754817201,0.0494904866135495,0.278570489015778,0.783824621345129,66,"Tmem170b,Cln8,Arhgap25,Dock2,Ctnna1,Acat1,Stk4,Snx2,Il1rap,Pheta1,Man1c1"
"MIR_7057_3P",0.795724465558195,0.935186754817201,0.0643583367917361,-0.256975024938512,-0.792757547390489,115,"Serpinb6b,Pign,F2r,Pik3c2a,Scai,Zfp800,Ppp1r15b,Dpm1,Ppp1cb,Rab23,Nsd3,Ret,Zrsr2,Mtfr2,Xiap,Aebp2,Bmpr2,Phip,Ubn2,Tmem245,Fignl1,Cir1,Rps6,Tnpo1,Ammecr1,Cpeb2,Nabp1,Arf6"
"MIR_7668_3P",0.793345008756567,0.935186754817201,0.0501934252649434,0.284624980436452,0.766864673739095,41,"Agfg2,Vps39,Rap2c,Camta2,Necap2,Prkar1a,Smim14,Tet1,Ptpn1,Ralgds,Spryd7,St3gal2,Tex264,Lmna,Def8,Rab3b"
"MIR_8098",0.807511737089202,0.935186754817201,0.0630790410571939,-0.313684448228441,-0.735631786161652,18,"Pspc1,Hcfc1,Ppfia1,Tmed7"
"MIR_874_3P",0.809744779582367,0.935186754817201,0.0623861492893626,-0.279812189548617,-0.74978408298027,41,"Arid3a,Trps1,Fmr1,Ndst1,Nr2c2,Bclaf3,Ptpn12,Arhgap39,Ankrd44,Prdm1,Camk1d,Shpk"
"MIR_879_5P",0.802272727272727,0.935186754817201,0.0618406035753285,-0.277119232154793,-0.736399323270574,38,"Cdc37l1,Inpp5a,Cldn12,Ppp3r1,Slc38a1,Ccser2,Tanc2,Slc25a13,Ogt,Jmy,Mfsd1"
"MIR_880_5P",0.806620209059233,0.935186754817201,0.0491927521045191,0.277418311399974,0.768182164878686,58,"Ptgr2,Ado,Creb3,Cops8,Ctnna1,Eif4e,Parp9,Pacsin2,Gsr,Nras,Igf2bp3,Mtap,Kif5b,Tmem50a"
"MIR_881_5P",0.810897435897436,0.935186754817201,0.0451344222209097,0.246578351972365,0.796034653739286,297,"Agpat5,Phf2,Sec23a,Ppp2r1b,Acp3,Ap2m1,Zfp706,Zfp780b,Samhd1,Igsf9b,Frg1,Gltp,Rab6b,Tfdp1,Idi1,4930579G24Rik,Tk2,2410004P03Rik,Dusp7,Bnip3l,St6galnac3,Repin1,Vamp5,Fbxl20,Inpp5f,Pramel12,Mob3b,Wtap,Slc35a5,Rasgrp1,Plekhm3,St8sia1,Gab3,Cd200,Kctd12,Ccdc134,Rchy1,Lyrm4,Fry,Pkp3,Stard5,B3gnt5,Sfxn3,Rnf111,Sp100,Lyrm7,Utp23,Urod,Sypl1,Zfp395,Exosc1,Kars1,Pcid2,Rab27b,Srd5a3,Btg2,Pdxk,Capza2,Armc2,Ptpn1,Igf1r,Mmgt1,Smyd3,Zbtb20,Fbxo39,Qki,Edem1,Kcnq5,Zwint,Gpd2,Gpr45,Slc25a42,Lrrc61,Nfia,Nono,Deptor,Gatad1,Cd93,Zfp280c"
"RALY_TARGET_GENES",0.805555555555556,0.935186754817201,0.0490939668192139,0.35193609583617,0.702992252135011,9,"Fbxo22,Nras,Slc35d2,Hnrnpf"
