baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
7862.957983089684	-0.8405097657789805	0.086645243723497	-9.700587472074314	2.9976759600351633e-22	3.9593304080144434e-18
103641.38439792166	0.4843106421451553	0.06204687571512336	7.805560498626509	5.923767867097143e-15	3.912056299430953e-11
7042.536658466613	-0.5675091054166136	0.07471479043840495	-7.595672852545433	3.061972034136144e-14	1.348084220895673e-10
6772.00786618225	-0.579376993399362	0.07771700359702041	-7.454957944641792	8.989650078180061e-14	2.6896276371096674e-10
614.4623642058041	-0.826026304299224	0.11104710311504373	-7.438521862596169	1.0181812678337628e-13	2.6896276371096674e-10
1270.11887568875	-0.7035571401894262	0.09693071289874129	-7.258351033943157	3.9183759251173006e-13	8.625651536491552e-10
4776.4536640475935	-1.1226528139731606	0.16613271127858187	-6.7575663175124205	1.4032881788236098e-11	2.6478043237003198e-8
2422.817449050033	-0.6638374193959922	0.1016742488099906	-6.529061460159644	6.618309131520009e-11	1.0926828376139534e-7
197.81155984319923	1.4111443894965185	0.22053080970778388	6.398853708315707	1.5654773931125412e-10	2.2974250453589384e-7
143.0654742326806	-1.2739775322878475	0.2085465182606557	-6.108841053368933	1.0035721168508012e-9	1.3255180519365383e-6
66.03672781256674	2.710922838737482	0.44804468699124106	6.05056352066614	1.4434003519229856e-9	1.7331301680180722e-6
5472.741407255496	-2.10958603793756	0.3656882150553362	-5.768810563442237	7.983298243046084e-9	8.78695026617939e-6
337.9326078704899	-0.7642396158807807	0.13356196836380488	-5.721985272028146	1.0528643702013482e-8	9.731191821434717e-6
3594.5166941727225	0.7486233662564445	0.13087721887867435	5.720043355676991	1.0649687491372454e-8	9.731191821434717e-6
1220.080868215818	0.4868128014529572	0.08520026051641053	5.713747804317941	1.1051474660926769e-8	9.731191821434717e-6
106.72068036933693	1.635012049360978	0.2902612858175538	5.632897424662684	1.7720686710554505e-8	1.4628426879562744e-5
18402.112816874338	-0.4507124903513437	0.08179239243940721	-5.510445127097082	3.579273827056062e-8	2.7808852181033217e-5
162.43071991383977	-1.0218292495893724	0.18897942059614609	-5.407092721344765	6.405598676477094e-8	4.700285962161637e-5
685.9251212425283	1.150153405953337	0.2137959491236794	5.379678196278553	7.461910200354597e-8	5.1872057855938696e-5
78894.53423203899	-0.47699765396263566	0.08966520452517776	-5.3197631844880915	1.0390240816277985e-7	6.768130130211157e-5
549.1803129811656	0.7029892068823298	0.13230543337331818	5.313381234304626	1.0760957959905687e-7	6.768130130211157e-5
3139.2252500235613	0.401149547664646	0.07891149074467685	5.083537820399197	3.7046876952243535e-7	2.0915418789784786e-4
4697.440742668513	0.38002230942582116	0.07476983186136779	5.08256204361176	3.7237761856503915e-7	2.0915418789784786e-4
3390.78749393427	0.406021462134691	0.07994613035938629	5.078688115478261	3.800500082940906e-7	2.0915418789784786e-4
13689.230071389748	0.4497959267355148	0.08954348945428485	5.023211955182422	5.081441231243974e-7	2.572666141831972e-4
314.53565389466513	-0.7271124861040638	0.1448347451349292	-5.020290438089838	5.159341032705159e-7	2.572666141831972e-4
172309.80425642722	-0.6243131463757682	0.12444917928276186	-5.016611198031783	5.259084329910906e-7	2.572666141831972e-4
25.02261027271322	-2.456610640673878	0.492825275584841	-4.9847496919848355	6.204207824051176e-7	2.8695437362415453e-4
333.7932167078811	0.7712931316901406	0.1548230661951668	4.981771454634958	6.300482158616355e-7	2.8695437362415453e-4
53.94751208016486	-2.244729297390465	0.4576704435703265	-4.904684864242355	9.357745377098237e-7	4.1199033646904505e-4
2249.227666719582	-0.379466210624333	0.07748212580184871	-4.897467728167043	9.707957150081274e-7	4.136216065750757e-4
136.50182792383237	-0.9389943013219211	0.1931262772519978	-4.8620742587850385	1.161620259662818e-6	4.7945876217582814e-4
78.32794765187165	-1.7595490111255143	0.36236772010994606	-4.855700200314888	1.1996208354868665e-6	4.8013915136698587e-4
292.94794477555547	-0.6736394503325404	0.13957008018613337	-4.826531943194141	1.3893111892777586e-6	5.397065349406069e-4
1348.9537893436311	-0.9684740647994128	0.20137142938107183	-4.809391619139223	1.513903520334303e-6	5.713039341878707e-4
725.5873618938531	-0.5286321381813645	0.11085045704546667	-4.7688764870364	1.8525619348239452e-6	6.796843898654075e-4
8688.54535634338	-0.39551260568724494	0.0834922440901517	-4.737117920320667	2.1677903988423026e-6	7.738425834570036e-4
1705.3004214251873	-0.8410597038870037	0.1783710595243887	-4.715225138705898	2.4144362674261356e-6	8.316470634379583e-4
48579.52548598071	-0.6540151641793159	0.13880433137467516	-4.7117777788499255	2.455650777867987e-6	8.316470634379583e-4
3330.157524611563	-0.4022183523097837	0.08615794370896863	-4.668383842451369	3.0357833348922947e-6	0.0010024156571814358
377.7854994401468	0.773384312888853	0.16649576943779346	4.645068853703257	3.399630521832341e-6	0.0010951785349356477
2511.626065650624	-0.41068237001373736	0.08933184336807211	-4.597267385624312	4.2806812042203314e-6	0.001315424485291106
10025.136344993238	-0.43720578099686835	0.09510306060844217	-4.597178873106195	4.282499459987701e-6	0.001315424485291106
44063.97601926427	-0.39875513702198123	0.0868910898559303	-4.589137248515778	4.450817283099106e-6	0.00133605442443575
2322.3552445347405	-0.6473008712346281	0.14144024401492208	-4.576497133067285	4.7282618569418064e-6	0.0013877973912552752
1777.2669282037762	-0.5833394434243389	0.12815420134952812	-4.55185578998957	5.317478032295098e-6	0.001526809779359862
3392.2258233874445	-0.36563941966910185	0.08057931115616157	-4.5376339710884075	5.6888889896543665e-6	0.0015986988462841462
